L'Abergement-Clémenciat;L ABERGEMENT CLEMENCIAT;1400
L'Abergement-de-Varey;L ABERGEMENT DE VAREY;1640
Amareins;AMAREINS;1090
Ambérieu-en-Bugey;AMBERIEU EN BUGEY;1500
Ambérieux-en-Dombes;AMBERIEUX EN DOMBES;1330
Ambléon;AMBLEON;1300
Ambronay;AMBRONAY;1500
Ambutrix;AMBUTRIX;1500
Andert-et-Condon;ANDERT ET CONDON;1300
Anglefort;ANGLEFORT;1350
Apremont;APREMONT;1100
Aranc;ARANC;1110
Arandas;ARANDAS;1230
Arbent;ARBENT;1100
Arbignieu;ARBIGNIEU;1300
Arbigny;ARBIGNY;1190
Argis;ARGIS;1230
Armix;ARMIX;1510
Ars-sur-Formans;ARS SUR FORMANS;1480
Artemare;ARTEMARE;1510
Asnières-sur-Saône;ASNIERES SUR SAONE;1570
Attignat;ATTIGNAT;1340
Bâgé-la-Ville;BAGE LA VILLE;1380
Bâgé-le-Châtel;BAGE LE CHATEL;1380
Balan;BALAN;1360
Baneins;BANEINS;1990
Beaupont;BEAUPONT;1270
Bellignat;BELLIGNAT;1810
Béligneux;BELIGNEUX;1360
Bellegarde-sur-Valserine;BELLEGARDE SUR VALSERINE;1200
Belley;BELLEY;1300
Belleydoux;BELLEYDOUX;1130
Bénonces;BENONCES;1470
Bény;BENY;1370
Béon;BEON;1350
Béréziat;BEREZIAT;1340
Bettant;BETTANT;1500
Bey;BEY;1290
Beynost;BEYNOST;1700
Billiat;BILLIAT;1200
Birieux;BIRIEUX;1330
Biziat;BIZIAT;1290
Blyes;BLYES;1150
Bohas;BOHAS;1250
La Boisse;LA BOISSE;1120
Boissey;BOISSEY;1190
Bolozon;BOLOZON;1450
Bouligneux;BOULIGNEUX;1330
Bourg-en-Bresse;BOURG EN BRESSE;1000
Bourg-Saint-Christophe;BOURG SAINT CHRISTOPHE;1800
Bouvent;BOUVENT;1100
Boyeux-Saint-Jérôme;BOYEUX SAINT JEROME;1640
Boz;BOZ;1190
Brégnier-Cordon;BREGNIER CORDON;1300
